ref0,PID1,ADPID2,LQG3,Control
0,0.010299229,0.000309753,0.702930874,231
0,0.010913985,0.000321237,0.702984713,231
0,0.011522795,0.000332659,0.703038491,231
0,0.012125739,0.00034402,0.703092254,231
0,0.012722895,0.000355322,0.703145956,231
0,0.013314337,0.000366564,0.703199643,231
0,0.013900142,0.000377748,0.703253268,231
0,0.015059959,0.000400213,0.703306935,231
0,0.016208811,0.000422563,0.703360541,231
0,0.017346844,0.000444799,0.703414187,231
0,0.018474198,0.000466922,0.703467772,231
0,0.019591014,0.000488932,0.703521396,231
0,0.020697429,0.000510831,0.703574959,231
0,0.021793581,0.000532621,0.70362856,231
0,0.022879603,0.000554301,0.703682099,231
0,0.023955627,0.000575872,0.703735675,231
0,0.025021785,0.000597337,0.70378919,231
0,0.025504763,0.000607475,0.703842684,231
0,0.025983546,0.000617565,0.703896118,231
0,0.026458188,0.000627608,0.703949532,231
0,0.026928742,0.000637603,0.704002885,231
0,0.027395261,0.000647551,0.704056216,231
0,0.027857796,0.000657453,0.704109487,231
0,0.028316398,0.000667308,0.704162737,231
0,0.028771118,0.000677118,0.704215926,231
0,0.029222005,0.000686883,0.704269092,231
0,0.029669108,0.000696603,0.704322199,231
0,0.027304589,0.000651336,0.704375023,231
0,0.024962902,0.000606305,0.704427787,231
0,0.022643746,0.000561507,0.704480271,231
0,0.020346824,0.000516939,0.704532694,231
0,0.018071843,0.0004726,0.704584841,231
0,0.015818514,0.000428487,0.704636928,231
0,0.013586551,0.000384599,0.704688742,231
0,0.011375674,0.000340933,0.704740495,231
0,0.009185607,0.000297487,0.704791977,231
0,0.007016074,0.000254259,0.704843399,231
0,0.007633679,0.000265386,0.704894801,231
0,0.00824515,0.000276452,0.704946144,231
0,0.008850571,0.000287457,0.704997465,231
0,0.009450021,0.000298402,0.705048727,231
0,0.010043579,0.000309287,0.705099967,231
0,0.010631323,0.000320113,0.705151148,231
0,0.011213331,0.00033088,0.705202307,231
0,0.011789678,0.00034159,0.705253407,231
0,0.012360438,0.000352242,0.705304485,231
0,0.012925687,0.000362837,0.705355503,231
0,0.01469469,0.000397037,0.705406603,231
0,0.016446904,0.00043106,0.705457644,231
0,0.018182551,0.00046491,0.705508766,231
