Input,Case1LNoise,Case1HPF(1),Case1Kal(3),Case1HPFKal(13),Case1LPFKal(23),Case1EKF(4),Control
-0.028164202,-0.31930677,0.333576458,0.250358155,0.427039537,9.025897726,-0.338701021,1
-0.022236154,-0.313572834,0.334967084,0.250358155,0.427039537,9.025897726,-0.338701021,1
-0.016301694,-0.307832195,0.336257694,0.250358155,0.427039537,9.025897726,-0.338701021,1
-0.010362534,-0.302086563,0.33744792,0.250358155,0.427039537,9.025897726,-0.338701021,1
-0.004420385,-0.296337652,0.338537425,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.001523039,-0.290587174,0.3395259,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.007466024,-0.284836843,0.340413063,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.013406855,-0.279088372,0.341198666,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.01934382,-0.273343475,0.341882485,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.025275208,-0.267603864,0.34246433,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.031199307,-0.261871248,0.342944036,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.037114409,-0.256147336,0.343321472,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.043018808,-0.250433833,0.343596533,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.048910802,-0.244732442,0.343769145,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.054788692,-0.239044862,0.343839263,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.060650783,-0.233372786,0.343806872,0.250358155,0.427039537,9.025897726,-0.338701021,1
0.066495384,-0.227717907,0.343671987,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.07232081,-0.222081908,0.343434651,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.078125381,-0.21646647,0.343094939,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.083907424,-0.210873266,0.342652952,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.08966527,-0.205303964,0.342108825,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.09539726,-0.199760223,0.341462718,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.101101741,-0.194243696,0.340714823,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.106777067,-0.188756028,0.339865361,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.112421602,-0.183298855,0.338914582,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.118033719,-0.177873805,0.337862765,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.123611799,-0.172482497,0.336710219,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.129154233,-0.167126537,0.335457281,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.134659423,-0.161807526,0.334104318,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.140125783,-0.156527049,0.332651724,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.145551734,-0.151286683,0.331099924,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.150935714,-0.146087992,0.329449371,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.156276168,-0.140932529,0.327700546,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.161571558,-0.135821834,0.325853957,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.166820356,-0.130757433,0.323910143,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.172021048,-0.12574084,0.32186967,0.297015071,0.278907998,8.898747004,-0.328143761,1
0.177172136,-0.120773554,0.31973313,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.182272133,-0.115857061,0.317501145,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.187319569,-0.110992831,0.315174365,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.192312988,-0.106182319,0.312753465,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.19725095,-0.101426966,0.310239147,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.202132032,-0.096728194,0.307632144,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.206954826,-0.092087412,0.304933211,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.211717941,-0.087506009,0.302143132,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.216420004,-0.082985359,0.299262716,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.221059658,-0.078526819,0.2962928,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.225635566,-0.074131724,0.293234245,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.230146409,-0.069801396,0.290087939,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.234590885,-0.065537135,0.286854793,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.238967713,-0.061340221,0.283535745,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.24327563,-0.057211917,0.280131758,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.247513395,-0.053153466,0.276643819,0.3083741,0.345072372,8.80593266,-0.308417686,1
