Sensor_A,Control
0.0654465,10
0.055607,10
0.0457675,10
0.035928,10
0.0260885,10
0.016249,10
0.0064095,10
-0.00343,10
0.0047025,10
0.012835,10
0.0209675,10
0.0291,10
0.0372325,10
0.045365,10
0.0534975,10
0.06163,10
0.0697625,10
0.077895,10
0.0717596,10
0.0656242,10
0.0594888,10
0.0533534,10
0.047218,10
0.0410826,10
0.0349472,10
0.0288118,10
0.0226764,10
0.016541,10
0.0176844,10
0.0188278,10
0.0199712,10
0.0211146,10
0.022258,10
0.0234014,10
0.0245448,10
0.0256882,10
0.0268316,10
0.027975,10
0.0273952,10
0.0268154,10
0.0262356,10
0.0256558,10
0.025076,10
0.0244962,10
0.0239164,10
0.0233366,10
0.0227568,10
0.022177,10
0.0382643,10
0.0543516,10
0.0704389,10
0.0865262,10
0.1026135,10
0.1187008,10
0.1347881,10
0.1508754,10
0.1669627,10
0.18305,10
0.1841773,10
0.1853046,10
0.1864319,10
0.1875592,10
0.1886865,10
0.1898138,10
0.1909411,10
0.1920684,10
0.1931957,10
0.194323,10
0.2142751,10
0.2342272,10
0.2541793,10
0.2741314,10
0.2940835,10
0.3140356,10
0.3339877,10
0.3539398,10
0.3738919,10
0.393844,10
0.3736664,10
0.3534888,10
0.3333112,10
0.3131336,10
0.292956,10
0.2727784,10
0.2526008,10
0.2324232,10
0.2122456,10
0.192068,10
0.185369,10
0.17867,10
0.171971,10
0.165272,10
0.158573,10
0.151874,10
0.145175,10
0.138476,10
0.131777,10
0.125078,10
0.1346756,10
0.1442732,10
0.1538708,10
0.1634684,10
0.173066,10
0.1826636,10
0.1922612,10
0.2018588,10
0.2114564,10
0.221054,10
0.2006671,10
0.1802802,10
0.1598933,10
0.1395064,10
0.1191195,10
0.0987326,10
0.0783457,10
0.0579588,10
0.0375719,10
0.017185,10
0.0515014,10
0.0858178,10
0.1201342,10
0.1544506,10
0.188767,10
0.2230834,10
0.2573998,10
0.2917162,10
0.3260326,10
0.360349,10
0.3431183,10
0.3258876,10
0.3086569,10
0.2914262,10
0.2741955,10
0.2569648,10
0.2397341,10
0.2225034,10
0.2052727,10
0.188042,10
0.1827923,10
0.1775426,10
0.1722929,10
0.1670432,10
0.1617935,10
0.1565438,10
0.1512941,10
0.1460444,10
0.1407947,10
0.135545,10
0.1394259,10
0.1433068,10
0.1471877,10
0.1510686,10
0.1549495,10
0.1588304,10
0.1627113,10
0.1665922,10
0.1704731,10
0.174354,10
0.1556256,10
0.1368972,10
0.1181688,10
0.0994404,10
0.080712,10
0.0619836,10
0.0432552,10
0.0245268,10
0.0057984,10
-0.01293,10
0.0112253,10
0.0353806,10
0.0595359,10
0.0836912,10
0.1078465,10
0.1320018,10
0.1561571,10
0.1803124,10
0.2044677,10
0.228623,10
0.2037437,10
0.1788644,10
0.1539851,10
0.1291058,10
0.1042265,10
0.0793472,10
0.0544679,10
0.0295886,10
0.0047093,10
-0.02017,10
-0.025565,10
-0.03096,10
-0.036355,10
-0.04175,10
-0.047145,10
-0.05254,10
-0.057935,10
-0.06333,10
-0.068725,10
-0.07412,10
-0.068742,10
-0.063364,10
-0.057986,10
-0.052608,10
-0.04723,10
-0.041852,10
-0.036474,10
-0.031096,10
-0.025718,10
-0.02034,10
-0.019873,10
-0.019406,10
-0.018939,10
-0.018472,10
-0.018005,10
-0.017538,10
-0.017071,10
-0.016604,10
-0.016137,10
-0.01567,10
-0.0136083,10
-0.0115466,10
-0.0094849,10
-0.0074232,10
-0.0053615,10
-0.0032998,10
-0.0012381,10
0.0008236,10
0.0028853,10
0.004947,10
0.0086991,10
0.0124512,10
0.0162033,10
