Input,LGNoise,HPF(1),LPF(2),Kal(3),HPFKal(13),LPFKal(23),EKF(4),Control
0.2232755,0.293838521,-0.214054634,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.218666436,0.289572235,-0.218557121,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.213994316,0.285242822,-0.222990608,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.209260488,0.280851629,-0.227353817,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.204466315,0.276400021,-0.23164549,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.199613182,0.27188938,-0.235864392,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.194702486,0.267321104,-0.240009308,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.189735645,0.26269661,-0.244079042,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.184714091,0.25801733,-0.248072424,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.179639271,0.253284711,-0.251988301,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.174512649,0.248500217,-0.255825548,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.169335704,0.243665325,-0.259583057,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.164109928,0.238781528,-0.263259747,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.158836828,0.233850333,-0.266854559,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.153517925,0.228873259,-0.270366457,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.148154753,0.22385184,-0.273794431,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.142748858,0.218787623,-0.277137492,-0.095390048,-0.10626339,0.252686395,0.18063553,0.18063553,1
0.137301798,0.213682166,-0.280394678,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.131815146,0.20853704,-0.283565051,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.126290482,0.203353825,-0.286647698,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.120729401,0.198134116,-0.289641732,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.115133505,0.192879515,-0.292546289,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.109504408,0.187591635,-0.295360535,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.103843735,0.1822721,-0.298083659,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.098153116,0.176922542,-0.300714876,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.092434193,0.1715446,-0.30325343,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.086688615,0.166139925,-0.305698589,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.080918039,0.160710172,-0.308049651,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.075124129,0.155257005,-0.310305937,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.069308555,0.149782095,-0.3124668,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.063472996,0.144287118,-0.314531617,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.057619133,0.138773757,-0.316499793,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.051748654,0.133243699,-0.318370764,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.045863253,0.127698637,-0.320143991,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.039964627,0.122140268,-0.321818963,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.034054476,0.116570293,-0.323395199,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.028134505,0.110990414,-0.324872246,-0.187892377,-0.179856247,0.356788113,0.184425665,0.184425665,1
0.022206421,0.10540234,-0.32624968,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
0.016271933,0.099807779,-0.327527104,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
0.010332753,0.094208442,-0.328704152,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
0.004390593,0.088606041,-0.329780486,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
-0.001552833,0.083002291,-0.330755796,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
-0.007495811,0.077398903,-0.331629803,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
-0.013436627,0.071797592,-0.332402256,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
-0.019373569,0.066200071,-0.333072934,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
-0.025304924,0.06060805,-0.333641645,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
-0.031228982,0.055023241,-0.334108227,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
-0.037144034,0.049447351,-0.334472545,-0.257071031,-0.243277588,0.435923347,0.175664626,0.175664626,1
